date,hour,min,subj
2013-11-20,16,55,[FreeFood] Olives at campus club!
2013-11-20,19,15,[FreeFood] Free Pizza in Lewis Library Lobby
2013-11-21,16,4,[FreeFood] FREE PiZZA in Frist by the TV lounge
2013-11-21,16,15,[FreeFood] Wine, Brownies, Miscellaneous Snacks in Schultz Lobby
2013-11-22,12,9,[FreeFood] Sandwiches in Frist 247
2013-11-23,17,56,[FreeFood] CHINESE FOOD IN CAMPUS CLUB
2013-11-23,18,50,[FreeFood] Samosas from Mehek in 1937 Basement
2013-11-23,21,45,[FreeFood] Thanksgiving Dinner @ Murray Dodge Caf=?ISO-8859-1?Q?=E9?=
2013-11-24,3,9,[FreeFood] Bunch of Free Stuff in Lockhart Entryway 1
2013-11-24,11,45,[FreeFood] cookies and fruit in wilson commons
2013-11-24,13,40,[FreeFood] lots of sandwiches, soda, and bagels
2013-11-25,17,10,[FreeFood] Soups, sandwiches, and fruit by couches outside of McGraw
2013-11-25,17,10,[FreeFood] Fwd: Free Indian Food!
2013-11-26,13,44,[FreeFood] pizza in math common room (fine 318)
2013-11-27,10,58,[FreeFood] PSA: Murray-Dodge
2013-11-27,15,0,[FreeFood] Assorted sodas (coca-cola, sprite, root beer, etc.) @ Holder Hall Entryway 7
2013-11-30,18,48,[FreeFood] Murray Dodge Cafe is OPEN!
2013-12-03,16,21,[FreeFood] Fwd: Global Recession 2.0: China's Massive Property Bubble
2013-12-03,16,28,[FreeFood] Free food in the taproom!
2013-12-03,17,38,[FreeFood] Study Snacks in the Frist USG Office!
2013-12-03,19,21,[FreeFood] Latkes and jelly donuts in Butler Studio 34
2013-12-04,18,29,[FreeFood] Latkes and Applesauce in the Whitman Common Room!
2013-12-04,19,24,[FreeFood] Sushi in the wilcox commons
2013-12-04,21,45,[FreeFood] Fwd: TODAY: Global Recession 2.0: China's Massive Property Bubble
2013-12-05,13,58,[FreeFood] Pizza & Eggplant Parm in Frist Rainbow Lounge
2013-12-06,10,30,[FreeFood] Cheese, Cider, Dips at McGraw
2013-12-06,13,21,[FreeFood] The McGraw Center Food is Gone
2013-12-06,13,26,[FreeFood] Food at the LGBT Center--cookies, fried chicken, cornbread, mac & cheese...
2013-12-06,14,50,[FreeFood] Dessert in Frist Lobby!
2013-12-06,16,45,[FreeFood] Indian food outside Cafe Viv!
2013-12-07,12,39,[FreeFood] Korean food
2013-12-08,18,20,[FreeFood] 20 cups of pellegrino in holder kitchen
2013-12-08,20,5,[FreeFood] Pizza in Campus Club
2013-12-09,19,12,[FreeFood] Efe's!!
2013-12-10,17,38,[FreeFood] Candy, Chocolate and Cordelia!
2013-12-10,17,45,[FreeFood] Two pizzas and an assortment of delicious looking cookies
2013-12-10,19,15,[FreeFood] Jamba Juice in Butler Studio 34
